Distance_(pixels);GVMalha_Controle;GVMalha_OMO;GVMalha_Vanish;GVMalha_Sabão;GVMalha_Cândida
90;19.504.666;19.273.111;18.737.334;18.767.999;20.618.445
91;19.376.666;19.095.111;18.672.667;18.855.333;20.619.778
92;19.298.000;18.958.667;18.667.999;18.813.333;20.619.112
93;19.299.333;19.148.001;18.702.000;18.706.667;20.712.445
94;19.244.667;19.282.668;18.736.667;18.794.000;20.827.777
95;19.104.666;19.466.667;18.779.333;18.861.333;20.885.110
96;19.422.000;19.250.667;18.824.667;18.864.000;20.914.444
97;19.458.000;19.108.667;18.807.333;18.988.666;20.843.777
98;19.162.666;19.150.000;18.747.333;18.981.332;20.911.778
99;19.003.999;19.157.333;18.725.999;18.803.333;20.995.111
100;19.265.334;18.919.334;18.694.667;18.703.333;21.007.111
101;19.412.666;18.967.334;18.684.000;18.625.333;21.055.779
102;19.285.333;19.216.667;18.624.001;18.589.999;21.000.444
103;19.106.000;19.644.000;18.614.667;18.679.333;20.981.334
104;19.339.999;19.426.668;18.651.334;18.884.666;20.922.000
105;19.399.333;19.269.334;18.636.667;18.973.999;20.848.889
106;19.270.000;19.106.000;18.637.334;18.994.000;20.863.556
107;19.302.667;19.120.001;18.660.667;18.779.999;20.846.222
108;19.282.666;19.063.333;18.638.667;18.998.000;20.848.889
109;19.184.000;19.000.000;18.674.001;18.830.666;20.762.666
110;19.137.334;18.821.333;18.637.334;18.802.666;20.692.000
111;19.079.333;19.177.335;18.710.001;18.728.000;20.784.000
112;19.255.333;19.418.668;18.805.333;18.829.333;20.803.334
113;19.203.999;19.313.333;18.782.666;18.892.667;20.680.000
114;19.172.667;19.036.667;18.730.000;18.820.667;20.789.999
115;19.242.667;18.978.667;18.723.334;18.875.999;20.750.890
116;19.272.667;18.948.001;18.739.999;18.964.000;20.762.889
117;19.268.666;19.020.667;18.771.333;18.849.333;20.865.778
118;19.229.333;18.977.335;18.762.000;18.701.332;20.904.666
119;19.189.333;19.096.001;18.734.666;18.591.333;20.888.445
120;19.184.666;19.305.334;18.734.000;18.623.999;20.811.778
121;19.282.001;19.373.334;18.723.334;18.719.777;20.813.777
122;19.167.334;19.203.334;18.691.333;18.917.111;20.897.778
123;19.096.001;19.066.667;18.674.001;18.953.111;20.885.777
124;19.217.999;19.194.000;18.697.333;18.989.111;20.845.778
125;19.373.334;19.227.335;18.707.333;18.883.110;20.855.112
126;19.416.667;19.065.334;18.693.333;18.707.111;20.815.778
127;19.293.333;19.129.333;18.703.999;18.804.443;20.732.445
128;19.353.999;19.307.333;18.765.334;18.793.111;20.798.445
129;19.405.333;19.616.667;18.744.000;18.806.444;20.765.111
130;19.348.666;19.433.334;18.694.000;18.863.110;20.780.444
131;19.129.333;19.010.001;18.738.000;18.890.443;20.798.445
132;19.266.000;18.953.334;18.681.334;19.155.777;20.763.110
133;19.490.666;19.333.334;18.580.000;19.041.110;20.781.778
134;19.512.000;19.250.667;18.620.000;18.855.777;20.792.444
135;19.280.000;19.114.000;18.694.667;18.886.444;20.852.444
136;19.284.666;19.301.334;18.758.000;18.822.444;20.817.778
137;19.477.333;19.480.667;18.737.334;18.817.999;20.783.778
138;19.314.667;19.559.334;18.682.001;18.770.000;20.779.778
