Pixels,Controle1,Omo1,Sabao1,Vanish1,Candida1
244,170.05,169.09,170.56,163.02,159.83
245,168.86,166.35,170.52,163.73,160.12
246,170.55,167.65,170.04,166.03,161.99
247,173.78,169.54,168.51,165.21,161.44
248,177.59,171.39,166.75,163.83,161.41
249,177.15,170.72,167.31,162.89,161.06
250,172.13,169.22,169.19,163.51,160.65
251,168.95,167.34,171.45,163.79,161.65
252,168.41,168.56,172.46,165.02,162.1
253,171.43,170.53,169.23,165.34,162.22
254,174.77,172.65,167.68,165.01,162.27
255,176.43,170.95,166.53,163.83,161.07
256,172.39,169.36,166.19,163.33,161.03
257,167.68,167.05,169.01,163.6,161.39
258,168.29,167.22,170.4,164.78,160.75
259,172.03,170.93,170.32,165.66,159.68
260,176.53,172.89,169.76,163.91,160.07
261,179.07,171.14,167.52,162.52,159.81
262,175.45,168.78,167.69,163.61,160.55
263,170.23,164.72,168.47,164.21,160.41
264,166.53,166.62,169.62,164.68,160.81
265,164.78,169.34,170.79,164.2,162.08
266,167.43,170.37,169.96,163.77,162.67
267,174.52,169.75,169.57,164.84,161.79
268,176.89,168.41,168.75,165.64,161.63
269,177.06,166.94,166.32,165.77,159.76
270,172.31,168.28,166.79,166.09,159.76
271,168.08,168.12,168.22,164.54,159.57
272,169.06,168.01,169.45,164.56,160.49
273,172.73,166.59,170.42,166.66,160.05
274,177.13,167.05,170.32,168.53,159.31
275,180.62,168.91,168.73,167.51,160.12
276,175.51,170.69,168.24,165.58,160.87
277,170.53,169.09,167.8,163.85,161.92
278,166.8,166.85,169.24,165.15,162.69
279,167.24,165.72,168.77,165.36,162.12
280,172.35,167.36,168.8,165.84,161.93
281,176.52,169.48,169.1,165.8,160.37
282,178.85,170.93,168.29,164.91,158.66
283,178.53,169.77,167.62,164.02,159.68
284,172.09,167.59,169.03,161.85,161.15
285,166.97,166.44,168.28,164.03,161.87
286,167.16,167.03,169.34,166.76,161.63
287,171.56,167.77,169.01,165.38,159.19
288,178.29,169.69,168.03,164.77,158.71
289,180.05,168.71,167.74,163.73,159.36
