Grupos,Valores de Cinza
Omo1,168.03
Omo1,170.44
Omo1,170.67
Omo1,169.62
Omo1,167.74
Omo1,166.77
Omo1,167.76
Omo1,169.32
Omo1,169.39
Omo1,169.09
Omo1,167.96
Omo1,169.05
Omo1,171.18
Omo1,171.40
Omo1,169.94
Omo1,168.79
Omo1,167.28
Omo1,169.43
Omo1,171.22
Omo1,171.99
Omo1,170.69
Omo1,169.43
Omo1,168.16
Omo1,168.07
Omo1,167.43
Omo1,169.78
Omo1,169.99
Omo1,169.05
Omo1,168.48
Omo1,170.33
Omo1,170.74
Omo1,168.50
Omo1,167.91
Omo1,169.02
Omo1,169.61
Omo1,170.69
Omo1,170.30
Omo1,168.98
Omo1,168.18
Omo1,168.84
Omo1,169.60
Omo1,169.62
Omo1,167.14
Omo1,166.64
Omo1,166.58
Omo1,167.43
Omo1,168.05
Omo1,167.90
Omo1,168.90
Omo1,170.50
Omo1,169.00
Omo1,167.74
Omo1,167.21
Omo1,168.77
Omo1,169.80
Omo1,170.80
Omo1,168.30
Omo1,167.19
Omo1,166.47
Omo1,168.43
Omo1,169.11
Omo1,169.87
Omo1,169.70
Omo1,167.72
Omo1,166.75
Omo1,167.75
Omo1,169.49
Omo1,171.63
Omo1,168.93
Omo1,167.44
Omo1,165.56
Omo1,166.97
Omo1,168.41
Omo1,169.63
Omo1,168.33
Omo1,168.01
Omo1,167.11
Omo1,169.21
Omo1,169.83
Omo1,168.17
Omo1,166.04
Omo1,168.53
Omo1,170.92
Omo1,172.01
Omo1,169.10
Omo1,167.58
Omo1,167.09
Omo1,168.72
Omo1,170.57
Omo1,170.46
Omo1,168.45
Omo1,169.74
Omo1,170.70
Omo1,171.94
Omo1,171.86
Omo1,171.58
Omo1,169.35
Omo1,169.81
Omo1,169.36
Omo1,169.16
Omo1,168.23
Omo1,168.48
Omo1,169.34
Omo1,168.39
Omo1,168.00
Omo1,168.59
Omo1,169.64
Omo1,170.26
Omo1,168.68
Omo1,168.10
Omo1,169.29
Omo1,169.31
Omo1,168.69
Omo1,168.64
Omo1,166.81
Omo1,167.96
Omo1,168.17
Omo1,169.33
Omo1,168.54
Omo1,167.55
Omo1,167.72
Omo1,168.54
Omo1,167.16
Omo1,168.06
Omo1,169.54
Omo1,170.13
Omo1,170.95
Omo1,170.42
Omo1,168.55
Omo1,169.89
Omo1,170.96
Omo1,170.15
Omo1,168.18
Omo1,168.73
Omo1,169.44
Omo1,169.91
Omo1,169.71
Omo1,169.78
Omo1,169.10
Omo1,170.90
Omo1,171.11
Omo1,169.67
Omo1,168.78
Omo1,168.52
Omo1,168.67
Omo1,171.66
Omo1,171.26
Omo1,170.37
Omo1,167.71
Omo1,166.74
Omo1,168.22
Omo1,170.78
Omo1,170.05
Omo1,168.89
Omo1,165.63
Omo1,165.49
Omo1,167.05
Omo1,169.01
Omo1,170.07
Omo1,170.22
Omo1,168.60
Omo1,168.94
Omo1,167.43
Omo1,168.55
Omo1,168.44
Omo1,168.01
Omo1,168.46
Omo1,169.60
Omo1,170.73
Omo1,168.68
Omo1,165.81
Omo1,167.58
Omo1,169.54
Omo1,169.64
Omo1,169.42
Omo1,168.97
Omo1,167.85
Omo1,169.59
Omo1,171.16
Omo1,170.65
Omo1,167.99
Omo1,168.05
Omo1,168.69
Omo1,169.61
Omo1,170.08
Omo1,170.52
Omo1,167.73
Omo1,167.88
Omo1,170.15
Omo1,172.12
Omo1,171.22
Omo1,168.41
Omo1,166.43
Omo1,168.68
Omo1,172.26
Omo1,172.92
Omo1,169.68
Omo1,166.86
Omo1,167.14
Omo1,168.92
Omo1,170.22
Omo1,169.79
Omo1,167.88
Omo1,167.95
Omo1,168.31
Omo1,169.45
Omo1,170.31
Omo1,169.09
Omo1,166.35
Omo1,167.65
Omo1,169.54
Omo1,171.39
Omo1,170.72
Omo1,169.22
Omo1,167.34
Omo1,168.56
Omo1,170.53
Omo1,172.65
Omo1,170.95
Omo1,169.36
Omo1,167.05
Omo1,167.22
Omo1,170.93
Omo1,172.89
Omo1,171.14
Omo1,168.78
Omo1,164.72
Omo1,166.62
Omo1,169.34
Omo1,170.37
Omo1,169.75
Omo1,168.41
Omo1,166.94
Omo1,168.28
Omo1,168.12
Omo1,168.01
Omo1,166.59
Omo1,167.05
Omo1,168.91
Omo1,170.69
Omo1,169.09
Omo1,166.85
Omo1,165.72
Omo1,167.36
Omo1,169.48
Omo1,170.93
Omo1,169.77
Omo1,167.59
Omo1,166.44
Omo1,167.03
Omo1,167.77
Omo1,169.69
Omo1,168.71
Omo1,167.44
Omo1,168.01
Omo1,169.22
Omo1,169.50
Omo1,171.06
Omo1,169.56
Omo1,169.15
Omo1,168.55
Omo1,168.16
Omo1,166.94
Omo1,166.52
Omo1,167.55
Omo1,170.56
Omo1,171.17
Omo1,170.39
Omo1,167.25
Omo1,165.77
Omo1,165.56
Omo1,168.52
Omo1,169.75
Omo1,169.70
Omo1,166.59
Omo1,167.49
Omo1,168.91
Omo1,169.37
Omo1,168.02
Omo1,167.44
Omo1,167.29
Omo1,167.55
Omo1,167.20
Omo1,168.33
Omo1,167.66
Omo1,166.37
Omo1,166.43
Omo1,168.68
Omo1,170.60
Omo1,169.75
Omo1,167.76
Omo1,168.00
Omo1,168.54
Omo1,168.81
Omo1,169.21
Omo1,170.00
Omo1,168.86
Omo1,168.46
Omo1,167.42
Omo1,168.06
Omo1,168.12
Omo1,169.86
Omo1,169.64
Omo1,168.21
Omo1,167.11
Omo1,168.80
Omo1,168.86
Omo1,168.21
Omo1,167.77
Omo1,170.11
Omo1,170.04
Omo1,167.76
Omo1,166.97
Omo1,169.18
Omo1,169.18
Omo1,170.59
Omo1,171.37
Omo1,170.90
Omo1,168.02
Omo1,166.23
Omo1,168.68
Omo1,171.14
Omo1,169.49
Omo1,168.18
Omo1,167.55
Omo1,169.20
Omo1,171.05
Omo1,172.14
Omo1,171.11
Omo1,169.62
Omo1,167.24
Omo1,168.92
Omo1,169.36
Omo1,168.94
Omo1,168.74
Omo1,168.48
Omo1,168.41
Omo1,169.47
Omo1,168.93
Omo1,168.44
Omo1,168.28
Omo1,169.57
Omo1,170.08
Omo1,171.53
Omo1,169.70
Omo1,168.24
Omo1,164.80
Omo1,165.49
Omo1,170.24
Omo1,172.77
Omo1,171.60
Omo1,168.74
Omo1,166.57
Omo1,167.62
Omo1,169.65
Omo1,170.88
Omo1,167.84
Omo1,166.49
Omo1,168.58
Omo1,170.63
Omo1,171.80
Omo1,172.00
Omo1,166.89
Omo1,163.58
Omo1,165.75
Omo1,169.63
Omo1,171.97
Omo1,169.84
Omo1,165.96
Omo1,166.47
Omo1,169.03
Omo1,173.58
Omo1,171.98
Omo1,168.31
Omo1,165.28
Omo1,165.68
Omo1,170.41
Omo1,173.11
Omo1,170.30
Omo1,168.02
Omo1,165.78
Omo1,167.63
Omo1,171.80
Omo1,173.08
Omo1,168.86
Omo1,166.70
Omo1,166.87
Omo1,170.14
Omo1,171.34
Omo1,169.36
Omo1,166.51
Omo1,166.82
Omo1,169.93
Omo1,174.21
Omo1,171.68
Omo1,167.76
Omo1,164.19
Omo1,165.21
Omo1,170.05
Omo1,170.83
Omo1,167.10
Omo1,166.49
Omo1,167.95
Omo1,171.67
Omo1,171.18
Omo1,169.13
Omo1,166.75
Omo1,167.21
Omo1,169.26
Omo1,172.10
Omo1,169.64
Omo1,166.44
Omo1,165.95
Omo1,169.24
Sabao1,169.76
Sabao1,169.87
Sabao1,169.67
Sabao1,169.24
Sabao1,170.52
Sabao1,170.00
Sabao1,168.94
Sabao1,167.90
Sabao1,168.58
Sabao1,168.13
Sabao1,167.12
Sabao1,167.85
Sabao1,170.62
Sabao1,170.15
Sabao1,170.70
Sabao1,170.35
Sabao1,169.27
Sabao1,169.50
Sabao1,169.18
Sabao1,169.38
Sabao1,170.95
Sabao1,170.87
Sabao1,169.58
Sabao1,168.20
Sabao1,167.47
Sabao1,167.96
Sabao1,168.54
Sabao1,168.96
Sabao1,170.09
Sabao1,169.45
Sabao1,169.36
Sabao1,167.97
Sabao1,166.99
Sabao1,168.13
Sabao1,168.67
Sabao1,167.80
Sabao1,167.95
Sabao1,167.91
Sabao1,168.05
Sabao1,168.10
Sabao1,168.93
Sabao1,168.78
Sabao1,168.21
Sabao1,167.72
Sabao1,168.37
Sabao1,167.49
Sabao1,167.82
Sabao1,167.81
Sabao1,168.13
Sabao1,167.78
Sabao1,167.93
Sabao1,167.27
Sabao1,167.32
Sabao1,167.08
Sabao1,168.35
Sabao1,169.60
Sabao1,169.92
Sabao1,168.30
Sabao1,166.71
Sabao1,166.54
Sabao1,166.97
Sabao1,167.68
Sabao1,169.22
Sabao1,168.67
Sabao1,167.51
Sabao1,167.32
Sabao1,168.26
Sabao1,168.13
Sabao1,167.85
Sabao1,167.81
Sabao1,167.66
Sabao1,166.75
Sabao1,165.83
Sabao1,166.63
Sabao1,166.92
Sabao1,166.88
Sabao1,167.48
Sabao1,167.31
Sabao1,167.35
Sabao1,167.26
Sabao1,168.26
Sabao1,168.61
Sabao1,168.55
Sabao1,168.28
Sabao1,168.26
Sabao1,167.48
Sabao1,167.71
Sabao1,168.37
Sabao1,168.90
Sabao1,169.22
Sabao1,169.87
Sabao1,168.02
Sabao1,167.96
Sabao1,167.48
Sabao1,169.30
Sabao1,170.22
Sabao1,169.81
Sabao1,168.90
Sabao1,167.70
Sabao1,167.50
Sabao1,168.27
Sabao1,168.31
Sabao1,169.30
Sabao1,168.89
Sabao1,168.74
Sabao1,169.37
Sabao1,169.23
Sabao1,168.41
Sabao1,169.18
Sabao1,169.78
Sabao1,169.49
Sabao1,168.45
Sabao1,168.97
Sabao1,169.20
Sabao1,169.29
Sabao1,169.36
Sabao1,169.96
Sabao1,169.20
Sabao1,168.54
Sabao1,168.91
Sabao1,169.78
Sabao1,170.39
Sabao1,169.98
Sabao1,169.92
Sabao1,169.39
Sabao1,168.40
Sabao1,169.09
Sabao1,169.82
Sabao1,169.52
Sabao1,170.14
Sabao1,169.89
Sabao1,169.54
Sabao1,168.79
Sabao1,168.47
Sabao1,169.09
Sabao1,168.26
Sabao1,167.41
Sabao1,168.28
Sabao1,169.02
Sabao1,168.98
Sabao1,169.65
Sabao1,168.47
Sabao1,169.01
Sabao1,169.63
Sabao1,170.32
Sabao1,170.47
Sabao1,170.61
Sabao1,170.79
Sabao1,171.06
Sabao1,169.34
Sabao1,168.78
Sabao1,168.69
Sabao1,169.79
Sabao1,170.72
Sabao1,170.41
Sabao1,169.90
Sabao1,169.62
Sabao1,168.92
Sabao1,169.27
Sabao1,169.88
Sabao1,170.96
Sabao1,170.66
Sabao1,171.19
Sabao1,170.20
Sabao1,169.21
Sabao1,169.37
Sabao1,169.28
Sabao1,169.11
Sabao1,169.63
Sabao1,170.18
Sabao1,170.84
Sabao1,171.00
Sabao1,171.20
Sabao1,169.18
Sabao1,168.73
Sabao1,169.43
Sabao1,170.07
Sabao1,170.23
Sabao1,169.99
Sabao1,168.92
Sabao1,169.12
Sabao1,168.54
Sabao1,169.69
Sabao1,170.53
Sabao1,170.29
Sabao1,169.86
Sabao1,169.27
Sabao1,167.64
Sabao1,168.03
Sabao1,168.71
Sabao1,170.10
Sabao1,169.79
Sabao1,168.55
Sabao1,168.12
Sabao1,168.21
Sabao1,168.58
Sabao1,169.52
Sabao1,169.56
Sabao1,170.28
Sabao1,170.14
Sabao1,170.10
Sabao1,169.77
Sabao1,168.91
Sabao1,168.18
Sabao1,168.73
Sabao1,169.08
Sabao1,170.02
Sabao1,170.65
Sabao1,170.79
Sabao1,170.57
Sabao1,170.66
Sabao1,170.90
Sabao1,171.25
Sabao1,170.08
Sabao1,168.95
Sabao1,168.17
Sabao1,167.74
Sabao1,169.02
Sabao1,169.67
Sabao1,169.83
Sabao1,170.01
Sabao1,169.11
Sabao1,169.21
Sabao1,169.04
Sabao1,169.37
Sabao1,169.36
Sabao1,170.27
Sabao1,169.92
Sabao1,169.79
Sabao1,168.90
Sabao1,168.60
Sabao1,168.73
Sabao1,168.06
Sabao1,168.23
Sabao1,167.53
Sabao1,167.96
Sabao1,168.89
Sabao1,169.92
Sabao1,169.86
Sabao1,169.23
Sabao1,168.35
Sabao1,167.66
Sabao1,167.71
Sabao1,169.22
Sabao1,170.56
Sabao1,170.52
Sabao1,170.04
Sabao1,168.51
Sabao1,166.75
Sabao1,167.31
Sabao1,169.19
Sabao1,171.45
Sabao1,172.46
Sabao1,169.23
Sabao1,167.68
Sabao1,166.53
Sabao1,166.19
Sabao1,169.01
Sabao1,170.40
Sabao1,170.32
Sabao1,169.76
Sabao1,167.52
Sabao1,167.69
Sabao1,168.47
Sabao1,169.62
Sabao1,170.79
Sabao1,169.96
Sabao1,169.57
Sabao1,168.75
Sabao1,166.32
Sabao1,166.79
Sabao1,168.22
Sabao1,169.45
Sabao1,170.42
Sabao1,170.32
Sabao1,168.73
Sabao1,168.24
Sabao1,167.80
Sabao1,169.24
Sabao1,168.77
Sabao1,168.80
Sabao1,169.10
Sabao1,168.29
Sabao1,167.62
Sabao1,169.03
Sabao1,168.28
Sabao1,169.34
Sabao1,169.01
Sabao1,168.03
Sabao1,167.74
Sabao1,167.04
Sabao1,166.58
Sabao1,168.08
Sabao1,169.16
Sabao1,170.02
Sabao1,169.24
Sabao1,168.68
Sabao1,168.80
Sabao1,169.32
Sabao1,169.50
Sabao1,170.14
Sabao1,168.58
Sabao1,168.17
Sabao1,167.47
Sabao1,167.07
Sabao1,168.01
Sabao1,168.42
Sabao1,167.75
Sabao1,167.69
Sabao1,166.81
Sabao1,168.09
Sabao1,168.56
Sabao1,167.13
Sabao1,167.26
Sabao1,167.68
Sabao1,167.42
Sabao1,169.06
Sabao1,168.16
Sabao1,166.75
Sabao1,165.51
Sabao1,166.72
Sabao1,167.05
Sabao1,167.61
Sabao1,166.93
Sabao1,167.55
Sabao1,167.13
Sabao1,168.30
Sabao1,168.55
Sabao1,167.94
Sabao1,167.34
Sabao1,167.22
Sabao1,166.85
Sabao1,166.24
Sabao1,165.52
Sabao1,166.99
Sabao1,167.31
Sabao1,167.68
Sabao1,167.64
Sabao1,167.71
Sabao1,167.42
Sabao1,167.44
Sabao1,166.55
Sabao1,167.16
Sabao1,168.22
Sabao1,167.90
Sabao1,168.02
Sabao1,167.95
Sabao1,167.03
Sabao1,166.69
Sabao1,166.07
Sabao1,167.63
Sabao1,167.31
Sabao1,167.48
Sabao1,167.91
Sabao1,167.91
Sabao1,166.12
Sabao1,167.04
Sabao1,168.08
Sabao1,168.18
Sabao1,167.54
Sabao1,166.50
Sabao1,166.68
Sabao1,167.83
Sabao1,167.64
Sabao1,167.92
Sabao1,168.09
Sabao1,169.29
Sabao1,168.49
Sabao1,167.22
Sabao1,166.70
Sabao1,166.69
Sabao1,165.91
Sabao1,166.25
Sabao1,166.67
Sabao1,167.44
Sabao1,166.90
Sabao1,167.40
Sabao1,168.36
Sabao1,169.02
Sabao1,166.90
Sabao1,167.77
Sabao1,167.97
Sabao1,168.97
Sabao1,169.15
Sabao1,169.06
Sabao1,168.59
Sabao1,167.80
Sabao1,166.79
Sabao1,167.68
Sabao1,168.26
Sabao1,168.37
Sabao1,167.96
Sabao1,168.58
Sabao1,167.96
Sabao1,166.65
Sabao1,165.61
Sabao1,167.36
Sabao1,167.96
Sabao1,168.98
Sabao1,167.42
Sabao1,166.17
Sabao1,165.92
Sabao1,165.62
Sabao1,165.80
Sabao1,168.51
Sabao1,169.65
Sabao1,169.81
Sabao1,167.62
Sabao1,166.09
Sabao1,165.88
Sabao1,166.65
Sabao1,167.25
Sabao1,169.47
Sabao1,168.03
Sabao1,165.93
Sabao1,163.69
Sabao1,165.05
Sabao1,167.51
Sabao1,169.57
Sabao1,169.36
Sabao1,168.69
Sabao1,166.20
Sabao1,166.10
Sabao1,165.58
Sabao1,166.86
Sabao1,168.42
Sabao1,168.46
Sabao1,167.09
Sabao1,165.80
Sabao1,164.26
Sabao1,166.77
Sabao1,169.10
Sabao1,170.24
Sabao1,169.21
Sabao1,167.21
Sabao1,163.99
Sabao1,164.08
Sabao1,164.71
Sabao1,167.28
Sabao1,169.12
Sabao1,170.24
Sabao1,169.26
Sabao1,166.01
Sabao1,164.74
Sabao1,165.41
Sabao1,167.57
Sabao1,169.02
Sabao1,169.19
Sabao1,167.84
Sabao1,165.44
Sabao1,164.30
Vanish1,166.62
Vanish1,165.68
Vanish1,167.33
Vanish1,167.65
Vanish1,167.23
Vanish1,166.20
Vanish1,167.46
Vanish1,167.90
Vanish1,167.12
Vanish1,166.00
Vanish1,166.43
Vanish1,166.64
Vanish1,165.77
Vanish1,164.85
Vanish1,166.81
Vanish1,166.83
Vanish1,167.31
Vanish1,165.99
Vanish1,166.15
Vanish1,167.28
Vanish1,167.84
Vanish1,166.82
Vanish1,166.56
Vanish1,164.81
Vanish1,166.47
Vanish1,166.92
Vanish1,168.37
Vanish1,168.89
Vanish1,167.75
Vanish1,165.31
Vanish1,167.58
Vanish1,167.04
Vanish1,167.34
Vanish1,166.68
Vanish1,166.87
Vanish1,167.29
Vanish1,167.44
Vanish1,167.30
Vanish1,168.84
Vanish1,167.79
Vanish1,165.73
Vanish1,165.13
Vanish1,167.40
Vanish1,168.75
Vanish1,167.65
Vanish1,165.70
Vanish1,166.89
Vanish1,166.99
Vanish1,169.18
Vanish1,167.27
Vanish1,166.16
Vanish1,166.25
Vanish1,167.28
Vanish1,167.15
Vanish1,168.53
Vanish1,166.63
Vanish1,165.59
Vanish1,165.87
Vanish1,167.34
Vanish1,168.53
Vanish1,167.33
Vanish1,164.38
Vanish1,164.80
Vanish1,166.59
Vanish1,167.51
Vanish1,166.59
Vanish1,165.81
Vanish1,166.15
Vanish1,166.18
Vanish1,167.43
