Grupos,Controle_2
Omo_2,177.49
Omo_2,178.04
Omo_2,178.70
Omo_2,179.39
Omo_2,179.98
Omo_2,179.46
Omo_2,180.13
Omo_2,180.06
Omo_2,178.51
Omo_2,177.88
Omo_2,177.58
Omo_2,178.10
Omo_2,178.35
Omo_2,178.57
Omo_2,181.43
Omo_2,181.72
Omo_2,181.10
Omo_2,180.38
Omo_2,179.07
Omo_2,178.53
Omo_2,178.75
Omo_2,177.34
Omo_2,178.18
Omo_2,179.10
Omo_2,179.60
Omo_2,180.34
Omo_2,180.72
Omo_2,180.69
Omo_2,180.02
Omo_2,179.38
Omo_2,178.76
Omo_2,178.53
Omo_2,179.12
Omo_2,178.69
Omo_2,178.82
Omo_2,179.50
Omo_2,180.07
Omo_2,179.69
Omo_2,179.67
Omo_2,179.44
Omo_2,178.54
Omo_2,179.67
Omo_2,180.43
Omo_2,179.92
Omo_2,180.15
Omo_2,179.60
Omo_2,179.19
Omo_2,180.27
Omo_2,180.46
Omo_2,180.84
Omo_2,179.89
Omo_2,179.12
Omo_2,178.84
Omo_2,178.62
Omo_2,178.62
Omo_2,179.35
Omo_2,179.18
Omo_2,179.41
Omo_2,179.23
Omo_2,180.18
Omo_2,180.61
Omo_2,179.99
Omo_2,180.46
Omo_2,181.05
Omo_2,180.55
Omo_2,180.84
Omo_2,181.06
Omo_2,181.32
Omo_2,180.94
Omo_2,179.88
Omo_2,180.49
Omo_2,181.06
Vanish_2,179.62
Vanish_2,179.98
Vanish_2,178.90
Vanish_2,179.18
Vanish_2,179.47
Vanish_2,179.17
Vanish_2,180.46
Vanish_2,180.31
Vanish_2,180.03
Vanish_2,179.78
Vanish_2,180.23
Vanish_2,181.02
Vanish_2,181.18
Vanish_2,180.94
Vanish_2,180.62
Vanish_2,180.37
Vanish_2,179.97
Vanish_2,180.26
Vanish_2,180.18
Vanish_2,180.75
Vanish_2,181.26
Vanish_2,180.73
Vanish_2,181.09
Vanish_2,180.83
Vanish_2,180.60
Vanish_2,181.31
Vanish_2,181.47
Vanish_2,181.69
Vanish_2,181.78
Vanish_2,181.80
Vanish_2,181.30
Vanish_2,181.23
Vanish_2,181.24
Vanish_2,181.87
Vanish_2,181.85
Vanish_2,182.14
Vanish_2,181.94
Vanish_2,182.15
Vanish_2,181.85
Vanish_2,181.66
Vanish_2,180.88
Vanish_2,182.12
Vanish_2,182.88
Vanish_2,183.00
Vanish_2,183.43
Vanish_2,182.68
Vanish_2,182.45
Vanish_2,181.98
Vanish_2,182.23
Vanish_2,182.77
Vanish_2,182.99
Vanish_2,183.95
Vanish_2,182.89
Vanish_2,181.83
Vanish_2,181.88
Vanish_2,182.15
Vanish_2,182.61
Vanish_2,183.20
Vanish_2,182.15
Vanish_2,182.92
Vanish_2,182.75
Vanish_2,182.07
Vanish_2,181.75
Vanish_2,182.04
Vanish_2,182.02
Vanish_2,182.83
Vanish_2,182.60
Vanish_2,182.69
Vanish_2,182.36
Vanish_2,181.92
Vanish_2,182.20
Vanish_2,181.83
Vanish_2,181.56
Vanish_2,181.88
Vanish_2,181.56
Vanish_2,181.94
Vanish_2,182.77
Vanish_2,182.66
Vanish_2,182.61
Vanish_2,182.76
Vanish_2,181.94
Vanish_2,181.67
Vanish_2,180.78
Vanish_2,181.71
Vanish_2,181.46
Vanish_2,181.34
Vanish_2,181.34
Vanish_2,181.31
Vanish_2,181.93
Vanish_2,183.03
Vanish_2,182.13
Vanish_2,182.28
Vanish_2,182.74
Vanish_2,182.88
Vanish_2,182.13
Vanish_2,181.82
Vanish_2,181.41
Vanish_2,183.30
Vanish_2,182.85
Vanish_2,183.22
Vanish_2,183.16
Vanish_2,182.31
Vanish_2,182.38
Vanish_2,181.86
Vanish_2,182.51
Vanish_2,183.01
Vanish_2,182.81
Vanish_2,182.65
Vanish_2,182.40
Vanish_2,182.35
Vanish_2,182.45
Vanish_2,181.66
Vanish_2,181.75
